id,title,comment_count,upvote_count,view_count,rating_count,average_rating,share_count,exit_count,created_at,username,interaction_type,engagement_score,interaction_rate,category_id,video_link
1356,The universe speaks frequency and responds to your vibrations. What do you want to experience in your life All you have to do is match the frequency of it  Comment the word “Energy” and we’ll send you,0,8,39,3,36,1,36,2024-11-24 20:24:36,kinha,rate,0.275,0.2,8,https://video-cdn.socialverseapp.com/kinha_3533b5f2-ee75-4e5d-8798-bfa3041e94e4.mp4
1362,"Whether you believe it or not, whether you see it or not, you are surrounded by a field of energy, and this energy has its own rules that determine what can come to you!",0,26,96,3,31,1,151,2024-11-26 02:44:52,kinha,rate,-0.29896907216494845,0.26804123711340205,8,https://video-cdn.socialverseapp.com/kinha_6444a490-47e7-4ffc-a349-578465c6a352.mp4
1364,"Whenever you deeply accept this moment as it is — no matter what form it takes — you are still, you are at peace.” - Eckhart Tolle",0,22,118,3,41,1,128,2024-11-26 17:34:03,kinha,rate,0.10084033613445378,0.18487394957983194,8,https://video-cdn.socialverseapp.com/kinha_8a0239c6-aaf4-4950-97ec-2c7904fe8cac.mp4
1352,it is what it is #spiritual #spirituality #love #meditation #spiritualawakening #healing #peace #life #wisdom #energy #awakening #motivation #soul #selflove #inspiration #consciousness #lightworker #psychic,0,19,49,2,43,0,44,2024-11-24 20:16:14,kinha,rate,0.48,0.38,8,https://video-cdn.socialverseapp.com/kinha_529cc330-d742-4453-ac44-83bc2b590774.mp4
1374,"The less I needed, the better I felt. What makes me happy are the days when I find space to breathe, days when I can be myself, with all my feelings, just in the moment. It’s the little things that make my heart leap",0,1,14,3,32,1,383,2024-11-28 04:12:29,kinha,rate,-24.533333333333335,0.06666666666666667,8,https://video-cdn.socialverseapp.com/kinha_2600f683-e2c5-473a-bda9-bf3f10e46187.mp4
1358,"Peonía rosada floreciendo.La magia de las peonías rosadas en plena floración  Las peonías rosadas son un verdadero espectáculo de la naturaleza. Con sus capas suaves y voluminosas, estas flores simbolizan el amor",0,2,70,3,26,0,85,2024-11-24 20:29:14,kinha,rate,-0.18309859154929578,0.028169014084507043,8,https://video-cdn.socialverseapp.com/kinha_cd0477b2-8e98-413c-9f87-3df35b83edd2.mp4
1367,"Let your silent charm speak louder than words 🌸

#SilentCharm #NatureBeauty #FlowerPower #fyp #nature #selflove #quote #reminder #loveyourself",0,17,62,4,35,1,29,2024-11-26 17:41:07,kinha,rate,0.7936507936507936,0.2698412698412698,8,https://video-cdn.socialverseapp.com/kinha_3fcc0d70-c519-49e3-9802-da99ad629a8d.mp4
1365,"Remember, self-love isn't selfish; it's essential for your well-being. Embrace yourself fully and watch how your life transforms. 💖",0,22,101,3,32,1,76,2024-11-26 17:37:28,kinha,rate,0.46078431372549017,0.21568627450980393,8,https://video-cdn.socialverseapp.com/kinha_4293733f-8c31-495e-a3e5-25753da15736.mp4
1373,"your growth, visualised with nature 🌳

using part of a short quote by Albert Camus.

#growth #tree #nature",0,1,12,3,35,0,376,2024-11-28 04:12:04,kinha,rate,-27.923076923076923,0.07692307692307693,8,https://video-cdn.socialverseapp.com/kinha_2557dd9e-4f76-4d33-92c5-ffb34d54fb9d.mp4
1370,"The poetry of the earth is never dead🌸

#fyp #earthfocus #earthpix #natureholic #naturelovers #flowerstagram #daisy #dailyquotes #loveyourself #beown #relax #natureza #peaceofmind #bloom_of_nature",0,14,91,2,31,1,59,2024-11-26 17:42:08,kinha,rate,0.5,0.15217391304347827,8,https://video-cdn.socialverseapp.com/kinha_0e146b4b-4ad7-4350-b7de-2b50603c1f3e.mp4
